text,label
"You storm into your childhood home, only to find it has been completely remodeled by strangers. Your favorite items are gone, replaced by things you despise. You confront the people inside, but they act like you don’t belong. The anger wells up as your identity is erased before your eyes.",Anger
"You are walking through a forest when a group of people you know appear and start ridiculing you for a mistake you don’t remember making. Every word cuts deeper, and your attempts to defend yourself only make them laugh harder. You scream at them, but your voice echoes uselessly.",Anger
"You’re in a classroom being forced to retake a test you already passed. The teacher accuses you of cheating, even though you studied harder than anyone. You feel trapped, and your clenched fists shake as the injustice eats at you.",Anger
"You wake up late for an important event, but every object in your house actively resists you—doors jam, clothes vanish, your phone explodes with nonsense alerts. By the time you leave, you’re trembling with frustration and fury.",Anger
"At a family dinner, everyone pretends you’re not there. You try to speak but they talk over you. When you finally slam your hand on the table, they look at you with disgust as if you ruined everything. Rage surges through your chest.",Anger
"You're in a contest you've trained months for, but the judges decide the winner before it even starts. When you try to protest, they laugh and say it was 'never meant for you anyway.' You walk away, fists clenched, vision red with anger.",Anger
"You walk into your room and find your belongings torn apart, walls spray-painted with insults. No one takes responsibility. As you scream, people walk past, indifferent, and you feel your temper spiral beyond control.",Anger
"You confront an old friend who betrayed you, but they twist every word you say, turning themselves into the victim. Everyone around them believes the lies, and your attempts to expose the truth only paint you as irrational.",Anger
"You’re in a job interview where everything goes wrong—your resume is missing, your clothes are stained, and the interviewer mocks you openly. You try to stay calm but eventually lash out, only to be dragged away while they smirk.",Anger
You return home from a long journey and find your room occupied by a stranger. They claim they’ve always lived there. Your family agrees. No one remembers you. The fury boils as your identity slips through your fingers.,Anger
"You're driving down a highway and someone cuts you off, nearly causing an accident. When you confront them at the next stop, they mock you, call you weak. You punch their car window in the dream, unable to hold back the rage.",Anger
"You're stuck in a bureaucracy nightmare, trying to fix a minor mistake in a document, but every clerk sends you somewhere else. Hours pass, no one helps. Your voice gets louder until you start yelling in a rage-fueled outburst.",Anger
"You're arguing with a loved one, and they deliberately twist everything you say. The more you try to be understood, the more they push your buttons. You feel your blood pressure rise and the urge to scream becomes overwhelming.",Anger
"You witness someone steal from an old woman on the street. You chase them down, but when you catch them, a crowd forms and defends the thief, accusing you of violence. You’re seething, powerless in your righteousness.",Anger
"You're forced to sit in a room watching people praise someone who has hurt you. You try to speak, but they all ignore you. The applause and smiles around you make your anger feel volcanic, ready to erupt.",Anger
"You enter a game show you never signed up for. The host keeps mocking your answers, and the audience laughs as you struggle. Each insult piles on until you throw the mic and storm off stage, fists clenched.",Anger
"You’re in a dream where your pet is in danger, but every person you ask for help just shrugs. Your desperation becomes rage as time runs out and no one lifts a finger.",Anger
"You find out someone has been impersonating you online, spreading lies. When you try to clear your name, no one believes you. The anger in your chest becomes a fire you can’t put out.",Anger
"You're trying to fix something important—a machine, a bridge, a relationship—but every time you make progress, someone undoes it behind your back. You finally snap, hurling tools across the room.",Anger
"You're standing in front of a massive crowd, finally ready to tell your story, but the microphone doesn’t work. Everyone starts booing. You scream in frustration, but no one hears a thing. The dream ends with you smashing the mic on the floor.",Anger
"You walk through your childhood home, but everything is covered in dust and cobwebs. Familiar voices echo in the distance, but no one is there. As you open doors, each one reveals an empty room. You sit alone in the last room, clutching a photo of someone you no longer remember.",Sadness
"You’re watching a celebration from behind a glass wall. Inside, people you love are laughing and smiling, but no one notices you. You bang on the glass, scream their names, but they keep dancing, leaving you behind in the silence.",Sadness
"You find yourself holding a paper boat at the edge of a dark river. You place it on the water and watch it float away, carrying a letter you wrote to someone you lost. As it vanishes, you feel a deep ache you can’t explain.",Sadness
"You try to hug someone you miss deeply, but every time you reach out, they fade a little more. Eventually, they vanish completely, and you’re left holding empty air in a cold, grey landscape.",Sadness
"You’re walking through a train station, searching for someone who promised to wait for you. Each train arrives and leaves without them. You sit on a bench as the sky darkens, realizing they’re never coming back.",Sadness
"You open a diary filled with entries in your handwriting, but you don’t remember writing them. Each page reveals a memory you forgot—happy moments now tainted by time. You begin to cry, overwhelmed by everything you lost.",Sadness
"You’re giving a speech at a funeral, but you can’t remember who passed away. As you speak, your own face appears in the casket. Everyone stares in silence while you try to understand what it means.",Sadness
"You sit in a hospital room holding the hand of someone you love. The heart monitor flatlines, and as the doctors rush in, you scream, but no sound comes out. You wake up crying, your hands still trembling.",Sadness
"You are on a swing in a foggy playground. Laughter surrounds you, but no one is visible. You swing higher and higher, hoping to find the source, but only emptiness greets you. The loneliness seeps into your bones.",Sadness
"You find an old letter in your mailbox addressed to you, dated years ago. It’s an apology from someone who’s gone. You clutch it to your chest, feeling the apology arrive far too late.",Sadness
"You see yourself as a child, playing joyfully in a garden. As you reach out to join in, the child looks at you with sad eyes and walks away, leaving you behind in a garden that slowly withers into grey.",Sadness
"You’re at a train station where everyone is saying goodbye to loved ones. You have no one to hug, no one to wave to. You sit on a bench as trains come and go, wishing someone would look your way.",Sadness
"You’re painting a picture of someone you love, but the more you paint, the more their face fades. Eventually, the canvas is blank, and the paintbrush slips from your hand as tears run down your face.",Sadness
"You’re standing in a room filled with memories—objects that represent your past. One by one, they begin to dissolve. You try to grab them, but they vanish like smoke. You're left in an empty space, unsure of who you are.",Sadness
"You open your phone and find a text from someone who passed away, saying they miss you. You reply in desperation, but the message won’t send. The screen turns black and reflects only your face.",Sadness
"You’re walking beside someone in the rain. They’re telling you a story, but their voice becomes quieter with every step. Eventually, they disappear into the fog, and you’re left soaked and shivering, clutching their umbrella.",Sadness
"You arrive at a concert to find it's already over. Empty chairs and discarded programs litter the floor. You walk on stage, look out into the darkness, and whisper the words you never got to say.",Sadness
"You’re playing a piano in an empty concert hall. The keys echo with a haunting melody. As you play, you begin to cry, realizing the piece was written for someone you’ll never see again.",Sadness
"You’re at a beach during sunset, watching waves erase a name you wrote in the sand. You try to write it again, but the tide keeps washing it away. Eventually, you stop trying and watch the ocean swallow it forever.",Sadness
"You’re in a museum filled with photographs of moments you’ve forgotten. You walk from frame to frame, overwhelmed by the passage of time, tears falling as you realize how much has slipped through your fingers.",Sadness
"You find yourself in a classroom, but the subject on the blackboard keeps changing—math, history, an unfamiliar language. You open your notebook to take notes, only to see pages filled with symbols you don’t understand. The teacher speaks in riddles, and everyone else nods like it makes sense.",Confusion
"You’re walking down a hallway that splits into dozens of identical corridors. You try to remember which one you came from, but your memory keeps rearranging. Each path you take leads to another version of the same hallway.",Confusion
"You look into a mirror and see a stranger staring back. You try to mimic its movements, but they lag behind or move differently. When you speak, the reflection mouths other words, making you question which one of you is real.",Confusion
"You’re running from something, but every time you turn around, there’s nothing there. Suddenly, you're no longer running—you’re sitting in a café, mid-conversation, with no memory of how you got there. Everyone around you seems to expect something you can't remember.",Confusion
"You wake up in your own bed, but everything is slightly wrong. The walls are the wrong color, the furniture is rearranged, and your family calls you by a different name. You try to explain, but they laugh like you’re joking.",Confusion
"You’re handed a map and told to follow it to safety. As you walk, the landmarks don’t match anything around you. The roads twist into spirals, the compass needle spins wildly, and even the sky changes color.",Confusion
"You try to speak, but the words come out in a language you don’t know. People around you respond as if everything is normal. You try again, more desperate, but even your thoughts seem scrambled.",Confusion
"You’re at a wedding, but everyone is wearing funeral clothes. You ask whose wedding it is, and someone whispers your name. When you look at the bride or groom, their face keeps changing every second.",Confusion
"You open a book and find it’s about your life. You flip through the pages, but events are in the wrong order. Some pages are blank, others describe things you’ve never done. You can't tell which version is the truth.",Confusion
"You’re being chased through a city, but every turn you take drops you into a different dream. One moment it’s a forest, then a library, then underwater. You try to remember where it started, but there is no beginning.",Confusion
"You’re on stage, holding a script in your hands, but the lines keep disappearing. The audience watches silently, waiting. You read aloud, but the words make no sense. Laughter erupts, and you realize you’re the only one who doesn't understand the joke.",Confusion
"You check your phone and find hundreds of messages from people you don’t recognize. Some seem to know intimate details about you. Others accuse you of things you don’t remember. You scroll endlessly, trying to piece together what’s real.",Confusion
"You’re in a familiar town, but everything is mirrored. The stores are on the wrong side, signs are written backward, and even people seem reversed. You ask for directions, but no one understands what you’re asking.",Confusion
"You wake up multiple times in the same dream. Each time you think you’ve finally returned to reality, something is slightly off. The clocks are melting, gravity bends, or your hands change shape. You lose trust in waking life.",Confusion
"You enter a room and everyone turns to look at you. They ask why you’re late, but you have no idea what event you were supposed to attend. Their disappointment grows, and you begin to wonder if you forgot your own identity.",Confusion
"You’re solving a puzzle, but the pieces keep changing shape after every move. Just as you get close to finishing, the entire puzzle resets. The people watching you shake their heads, but won’t explain what you’re doing wrong.",Confusion
"You hear your name called over a loudspeaker in a place you don’t recognize. You follow the sound, but it seems to move farther away. Hallways stretch endlessly, and the lights flicker in patterns that seem like code.",Confusion
"You’re reading a letter addressed to someone else, but it describes your life in perfect detail. You begin to suspect you’ve been living someone else’s story. When you try to ask for help, people insist you’re not who you think you are.",Confusion
"You’re told you have a mission to complete, but no one will say what it is. Each person gives you a different version of the task. Time is running out, but you’re stuck in a loop of contradicting directions.",Confusion
"You walk into a room and forget why you’re there. You try to retrace your steps, but the previous rooms are gone. You turn in circles, searching for context, but the more you look, the more your memories unravel.",Confusion
"You wake up in your bed and everything seems normal—until you walk into the kitchen and see your childhood dog, long since passed, wagging its tail like it never left. You drop to your knees, overwhelmed with joy and disbelief.",Surprise
"You’re walking through a quiet forest when the trees suddenly part and reveal a glowing city floating in the sky. A staircase of light appears beneath your feet, and without thinking, you begin to climb.",Surprise
You find a gift box on your doorstep with your name written in unfamiliar handwriting. You open it to discover a snow globe showing a moment from your past you had completely forgotten—something beautiful and long gone.,Surprise
"You’re sitting alone in a park when a stranger walks up and calls you by a secret name only one person ever used. You turn to look and find your childhood best friend, unchanged by time, smiling at you.",Surprise
"You’re walking down a familiar street when you suddenly float upward. Gravity loses its hold, and you're gently lifted into the sky. Everyone around you acts like it’s normal, but you’re wide-eyed with awe.",Surprise
"You look into your bathroom mirror and instead of your reflection, you see yourself as a child, smiling at you. The mirror child waves, and your heart swells with a strange, forgotten happiness.",Surprise
"You enter a room filled with people applauding you. You’re confused, until someone hands you a trophy engraved with a title you’ve always dreamed of. No one explains how it happened—only that you earned it.",Surprise
"You’re lost in a strange city and ask for directions. The stranger turns out to be a celebrity or historical figure you admire. They casually walk with you, discussing your life like an old friend.",Surprise
"You open a book and see it’s written entirely about your dreams—every one you’ve ever had. As you flip the pages, you realize it also includes dreams you haven’t had yet.",Surprise
"You’re underwater, expecting to drown—but you can breathe. Schools of glowing fish surround you, and an ancient city rises beneath your feet. You swim through it effortlessly, laughing in awe.",Surprise
"You reach into your pocket and find a ticket to a concert you’ve always wanted to attend. When you arrive, the performer calls your name and dedicates a song to you. The crowd cheers, and you wonder if it's all real.",Surprise
